name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
The Amersham Arms,Lewisham,www.theamershamarms.co.uk,100000000000,E09000023,Brockley,E05000439,388 New Cross Road,Lewisham,,536729.000122197,177012.00012149662,-0.031002875944306424,51.475038176872005,11/20/2022
New Cross Inn,Lewisham,www.newcrossinn.com,100000000000,E09000023,New Cross,E05000449,323 New Cross Road,Lewisham,,536413.000122197,177037.00012149662,-0.03554097186546133,51.47533915381398,11/20/2022
Olivers Jazz Bar,Greenwich,www.oliversjazzbar.co.uk,10010246216,E09000011,Greenwich West,E05000222,9 Nevada Street,Greenwich,,538426.000122197,177513.00012149662,-0.006384295518765232,51.47912796961092,11/20/2022
The Troubadour,Kensington And Chelsea,www.troubadourlondon.com,217114565,E09000020,Redcliffe,E05009402,263-267 Old Brompton Road,Kensington And Chelsea,,525653.000122197,178204.00012159348,-0.18999180446192443,51.4883209295035,11/20/2022
The Pheasantry,Kensington And Chelsea,www.pizzaexpresslive.com/venues/chelsea-the-pheasantry,217047024,E09000020,Stanley,E05009405,152 King's Rd Chelsea,London,,527465.000122197,178277.00012159348,-0.1638782286270836,51.48857142968084,11/20/2022
Nell's Jazz & Blues,Hammersmith And Fulham,www.nellsjazzandblues.com,34151679,E09000013,Avonmore And Brook Green,E05000252,3 North End Crescent,Hammersmith And Fulham,,524555.000122197,178556.00012159348,-0.20567568358079566,51.49172770922717,11/20/2022
Brasserie & Wine Bar Toulouse Lautrec,Lambeth,www.toulouselautrec.co.uk,200000000000,E09000022,Prince's,E05000427,140 Newington Butts,Lambeth,,531764.000122197,178610.00012159348,-0.10186315174086412,51.490578737167844,11/20/2022
Corsica Studios,Southwark,www.corsicastudios.com,10013530837,E09000028,North Walworth,E05011107,Southwark ,,,532085.000122197,178888.00012159348,-0.09713764606843979,51.493002369861806,11/20/2022
Omeara,Southwark,www.omearalondon.com,0,E09000028,Borough & Bankside,E05011095,6 O'meara St London,,,532342.000122197,180077.00012159348,-0.09299134896836236,51.503628427973936,11/20/2022
Notting Hill Arts Club,Kensington And Chelsea,www.nottinghillartsclub.com,217059366,E09000020,Campden,E05009390,19-21 Notting Hill Gate,Kensington And Chelsea,,525402.000122197,180464.00012159348,-0.19280204988122407,51.50868961536844,11/20/2022
The Red Room (Aka The Ealing Jazz Club),Ealing,www.ealingclub.com,12133012,E09000009,Ealing Broadway,E05000173,42 The Broadway,Ealing,,517885.0001221001,180864.00012169778,-0.30094467574823447,51.51390360326917,11/20/2022
Ain't Nothin But Blues Bar,City Of Westminster,www.aintnothinbut.co.uk,100000000000,E09000033,West End,E05000649,20 Kingly Street,City Of Westminster,,529197.000122197,180980.00012159348,-0.1379528960527385,51.51247219450497,11/20/2022
Ronnie Scotts,City Of Westminster,www.ronniescotts.co.uk,10033534558,E09000033,West End,E05000649,47 Frith Street,City Of Westminster,,529740.000122197,181041.00012159348,-0.13010894828599448,51.51289599196441,11/20/2022
The Spice Of Life,City Of Westminster,www.spiceoflifesoho.com,100000000000,E09000033,West End,E05000649,6 Moor Street,City Of Westminster,,529874.000122197,181046.00012159348,-0.12817692525852112,51.51291013770648,11/20/2022
St. Moritz Club,City Of Westminster,www.stmoritzclub.co.uk,10033622399,E09000033,West End,E05000649,Flat 159,Wardour Street,City Of Westminster,529509.000122197,181154.00012159348,-0.13339483484267925,51.51396461156489,11/20/2022
Jazz After Dark Ltd,City Of Westminster,www.jazzafterdark.co.uk,10033551268,E09000033,West End,E05000649,9 Greek Street,City Of Westminster,,529784.000122197,181163.00012159348,-0.12943023261831846,51.51398238258549,11/20/2022
Phoenix Artist Club,Camden,www.phoenixartistclub.com,5169960,E09000007,Holborn And Covent Garden,E05000138,1 Phoenix Street,Camden,,529919.000122197,181165.00012159348,-0.12748486490206515,51.51396932363668,11/20/2022
Borderline,City Of Westminster,www.theborderlinelondon.com,10033537847,E09000033,West End,E05000649,Orange Yard Manette Street,City Of Westminster,,529828.000122197,181208.00012159348,-0.12877984986774987,51.51437671707406,11/20/2022
Jazz Club Soho,City Of Westminster,www.pizzaexpresslive.com/venues/soho-jazz-club,100000000000,E09000033,West End,E05000649,10 Dean Street,City Of Westminster,,529624.000122197,181228.00012159348,-0.131711077367706,51.51460332276352,11/20/2022
The George Tavern,Tower Hamlets,www.thegeorgetavern.co.uk,6027924,E09000030,Stepney Green,E05009334,373 Commercial Road,Tower Hamlets,,535205.000122197,181287.00012159348,-0.051297722363800126,51.51382527576585,11/20/2022
100 Club,City Of Westminster,www.the100club.co.uk,10033540054,E09000033,West End,E05000649,100 Oxford Street,City Of Westminster,,529481.000122197,181347.00012159348,-0.13372725763212018,51.515705658609455,11/20/2022
The Social,City Of Westminster,www.thesocial.com,100000000000,E09000033,West End,E05000649,5 Little Portland Street,City Of Westminster,,529096.000122197,181468.00012159348,-0.13922896983349922,51.516881301802265,11/20/2022
Fabric,Islington,www.fabriclondon.com,5300037740,E09000019,Clerkenwell,E05000370,77a Charterhouse St London,,,531746.000122197,181788.00012159348,-0.10093494982033525,51.51914539356765,11/20/2022
93 Feet East,Tower Hamlets,www.93feeteast.co.uk,6717071,E09000030,Spitalfields & Banglatown,E05009333,150 Brick Ln Shoreditch,London,,533893.000122197,182074.00012159348,-0.06989686546196872,51.521210854330114,11/20/2022
The Piano Works - Farringdon,Islington,www.pianoworks.bar,10012787103,E09000019,Clerkenwell,E05000370,113 Corner Of Farringdon Rd,Farringdon,London,531352.000122197,182135.00012159348,-0.10648158295210498,51.522355851955346,11/20/2022
229 The Venue,City Of Westminster,www.229thevenue.com,100000000000,E09000033,Marylebone High Street,E05000641,229 Great Portland Street,City Of Westminster,,528802.000122197,182148.00012159348,-0.1432156476139143,51.52306009547726,11/20/2022
Betsey Trotwood,Islington,www.betsey.pub,5300032921,E09000019,Clerkenwell,E05000370,56 Farringdon Road,Islington,,531353.000122197,182190.00012159348,-0.10644666729199817,51.52284993498186,11/20/2022
