name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
Norbury,Beatrice Avenue,,,Croydon,,100023319420,E09000008,Norbury & Pollards Hill,E05011472,530815.0001221001,169072.00012210011,-0.11905284858474778,51.40507418218729,11/20/2022
Bromley Central Library,High Street,Bromley,,Bromley,,100022886980,E09000006,Bromley Town,E05000109,540217.0001221001,169118.00012210011,0.016066783909296462,51.40324077728442,11/20/2022
Kingston Library,Fairfield Road,Kingston Upon Th,,Kingston upon Thames,,128019808,E09000021,Grove,E05000408,518313.0001221001,169184.00012210011,-0.29868809889891274,51.408827393443644,11/20/2022
Raynes Park Library,Approach Road,,,Merton,,48128562,E09000024,Dundonald,E05000459,523352.8001098931,169276.0800780952,-0.22622153443767634,51.408580963987085,11/20/2022
Mitcham Library,London Road,Mitcham,,Merton,,48083196,E09000024,Figge's Marsh,E05000460,527898.0001221001,169335.00012210011,-0.16087712634454546,51.40810346938461,11/20/2022
St Pauls Cray Library,Mickleham Road,Orpington,,Bromley,,100022898290,E09000006,Cray Valley West,E05000115,546390.0001221001,169378.00012210011,0.10486766661118022,51.4040174558779,11/20/2022
Beckenham Library,Beckenham Road,Beckenham,,Bromley,,10003628986,E09000006,Clock House,E05000112,536627.0001221001,169562.00012210011,-0.035346839548617684,51.408107456136726,11/20/2022
Hampton,Rosehill,Hampton,,Richmond upon Thames,,100023398181,E09000027,Hampton,E05000520,513431.0001221001,169577.00012210011,-0.36873308724104026,51.413357843281126,11/20/2022
Hampton Wick,Bennet Close,Hampton Wick,,Richmond upon Thames,,10002251905,E09000027,Hampton Wick,E05000522,517393.0001221001,169657.00012210011,-0.311754654834997,51.41327030500837,11/20/2022
Penge Library,Green Lane,,,Bromley,,10070007380,E09000006,Penge and Cator,E05000123,535626.0001221001,170124.00012210011,-0.049516923964200515,51.4133987157756,11/20/2022
Colliers Wood Library,High Street Collier's Wood,,,Merton,,48121555,E09000024,Colliers Wood,E05000457,526826.4600829929,170420.68011479825,-0.17588859932092601,51.41810234906667,11/20/2022
Upper Norwood,Westow Hill,,,Lambeth,,10091838065,E09000022,Gipsy Hill,E05000422,533506.0001221001,170749.00012210011,-0.079751385167192,51.419519196621856,11/20/2022
Wimbledon Library,Wimbledon Hill Road,,,Merton,,48127190,E09000024,Hillside,E05000462,524696.0001221001,170793.00012210011,-0.20638314809588792,51.421921566543006,11/20/2022
Burnt Ash Library,Burnt Ash Lane,Bromley,,Bromley,,100022890161,E09000006,Plaistow and Sundridge,E05000125,540531.0001221001,170913.00012210011,0.02129001895749918,51.41929479801025,11/20/2022
Hampton Hill,High Street,Hampton Hill,,Richmond upon Thames,,10024344272,E09000027,Fulwell and Hampton Hill,E05000518,514398.0001221001,171005.00012210011,-0.35437164592932363,51.42599969670321,11/20/2022
Chislehurst Library,Red Hill,Chislehurst,,Bromley,,100022901114,E09000006,Chislehurst,E05000111,543663.0001221001,171025.00012210011,0.06635256708469033,51.4195161051789,11/20/2022
Tudor Drive Library,Tudor Drive,Kingston Upon Th,,Kingston upon Thames,,128039997,E09000021,Tudor,E05000415,518460.0001221001,171076.00012210011,-0.29594286504915013,51.42580323322705,11/20/2022
Teddington,Waldegrave Road,Teddington,,Richmond upon Thames,,10002264575,E09000027,Teddington,E05000530,515893.0001221001,171175.00012210011,-0.3328199987878258,51.42722398560931,11/20/2022
Tooting Library,Mitcham Road,,,Wandsworth,,121014131,E09000032,Graveney,E05000616,527618.0001221001,171323.00012210011,-0.16418534228203768,51.42603473700873,11/20/2022
